Level,Stations,% Success
0,1,100.0
0,2,66.7
0,4,30.8
0,8,34.8
0,16,35.6
0,32,39.5
0,64,38.8
0,128,37.3
0,256,43.6
0,512,46.2
0,1024,50.0
2,1,25.0
2,2,50.0
2,4,66.7
2,8,50.0
2,16,33.3
2,32,42.1
2,64,42.7
2,128,39.0
2,256,41.4
2,512,45.8
2,1024,50.1
4,1,6.2
4,2,12.5
4,4,25.0
4,8,40.0
4,16,47.1
4,32,43.2
4,64,42.1
4,128,42.4
4,256,43.2
4,512,46.7
4,1024,50.4
6,1,1.6
6,2,3.1
6,4,6.2
6,8,12.5
6,16,21.6
6,32,37.2
6,64,49.2
6,128,47.8
6,256,47.1
6,512,50.2
6,1024,51.6
8,1,0.4
8,2,0.8
8,4,1.6
8,8,3.1
8,16,6.2
8,32,12.4
8,64,23.4
8,128,42.4
8,256,56.4
8,512,58.3
8,1024,57.1
10,1,0.1
10,2,0.2
10,4,0.4
10,8,0.8
10,16,1.6
10,32,3.1
10,64,6.2
10,128,12.5
10,256,25.0
10,512,50.0
10,1024,100.0
